"","copynumber_r","Gene","Species","CopyNumber"
"32","1","BLGH_00289","000-hordei-DH14_genomic_reference.sort.bam",0.965542203500558
"33","1","BLGH_00293","000-hordei-DH14_genomic_reference.sort.bam",1.05672330506905
"34","1","BLGH_00294","000-hordei-DH14_genomic_reference.sort.bam",0.86905834305814
"35","1","BLGH_00314","000-hordei-DH14_genomic_reference.sort.bam",0.945695811714297
"36","1","BLGH_00316","000-hordei-DH14_genomic_reference.sort.bam",0.9618472061695
"37","1","BLGH_00344","000-hordei-DH14_genomic_reference.sort.bam",0.678543844198403
"38","1","BLGH_00369","000-hordei-DH14_genomic_reference.sort.bam",0.804509857648396
"39","1","BLGH_00379","000-hordei-DH14_genomic_reference.sort.bam",1.1113708281892
"40","1","BLGH_00432","000-hordei-DH14_genomic_reference.sort.bam",0.967020378177723
"41","1","BLGH_00434","000-hordei-DH14_genomic_reference.sort.bam",0.767244530472565
"42","1","BLGH_00436","000-hordei-DH14_genomic_reference.sort.bam",0.934764827033737
"43","1","BLGH_00437","000-hordei-DH14_genomic_reference.sort.bam",1.0202278621419
"44","1","BLGH_00459","000-hordei-DH14_genomic_reference.sort.bam",0.886598133939326
"45","1","BLGH_00464","000-hordei-DH14_genomic_reference.sort.bam",0.968682501776965
"46","1","BLGH_00508","000-hordei-DH14_genomic_reference.sort.bam",0.810555839676719
"47","1","BLGH_00510","000-hordei-DH14_genomic_reference.sort.bam",0.88493175087558
"48","1","BLGH_00540","000-hordei-DH14_genomic_reference.sort.bam",0.997299231320109
"49","1","BLGH_00554","000-hordei-DH14_genomic_reference.sort.bam",0.780381322068999
"50","1","BLGH_00569","000-hordei-DH14_genomic_reference.sort.bam",1.12573496899154
"51","1","BLGH_00605","000-hordei-DH14_genomic_reference.sort.bam",0.771168797579245
"52","1","BLGH_00641","000-hordei-DH14_genomic_reference.sort.bam",0.863832381973442
"53","1","BLGH_00697","000-hordei-DH14_genomic_reference.sort.bam",1.13347986565475
"54","1","BLGH_00698","000-hordei-DH14_genomic_reference.sort.bam",0.881041454719927
"55","1","BLGH_00700","000-hordei-DH14_genomic_reference.sort.bam",1.24539921238354
"56","0","BLGH_00708","000-hordei-DH14_genomic_reference.sort.bam",0.0427644492394545
"57","2","BLGH_00709","000-hordei-DH14_genomic_reference.sort.bam",1.5306558330021
"58","1","BLGH_00724","000-hordei-DH14_genomic_reference.sort.bam",0.855331802760793
"59","1","BLGH_00730","000-hordei-DH14_genomic_reference.sort.bam",1.31791053586358
"60","1","BLGH_00732","000-hordei-DH14_genomic_reference.sort.bam",1.05195971391172
"61","1","BLGH_00733","000-hordei-DH14_genomic_reference.sort.bam",0.77874275938215
"62","1","BLGH_00773","000-hordei-DH14_genomic_reference.sort.bam",0.965774189696615
"63","1","BLGH_00785","000-hordei-DH14_genomic_reference.sort.bam",0.945675008372328
"64","1","BLGH_00809","000-hordei-DH14_genomic_reference.sort.bam",1.02824957398305
"65","1","BLGH_00828","000-hordei-DH14_genomic_reference.sort.bam",1.17685151802742
"66","1","BLGH_00837","000-hordei-DH14_genomic_reference.sort.bam",0.943147101636161
"67","1","BLGH_00838","000-hordei-DH14_genomic_reference.sort.bam",0.871258384036834
"68","1","BLGH_00845","000-hordei-DH14_genomic_reference.sort.bam",0.826718146224645
"69","1","BLGH_00847","000-hordei-DH14_genomic_reference.sort.bam",0.994335965941937
"70","1","BLGH_00850","000-hordei-DH14_genomic_reference.sort.bam",1.07062056448893
"71","1","BLGH_00851","000-hordei-DH14_genomic_reference.sort.bam",1.12298835546451
"72","1","BLGH_00857","000-hordei-DH14_genomic_reference.sort.bam",1.00088319612534
"73","1","BLGH_00867","000-hordei-DH14_genomic_reference.sort.bam",1.25103031020776
"74","1","BLGH_00874","000-hordei-DH14_genomic_reference.sort.bam",1.11576149818636
"75","1","BLGH_00892","000-hordei-DH14_genomic_reference.sort.bam",1.00534097241675
"76","1","BLGH_00893","000-hordei-DH14_genomic_reference.sort.bam",0.985927342186587
"77","1","BLGH_00918","000-hordei-DH14_genomic_reference.sort.bam",0.797021691434101
"78","1","BLGH_00919","000-hordei-DH14_genomic_reference.sort.bam",1.10475514512262
"79","1","BLGH_00921","000-hordei-DH14_genomic_reference.sort.bam",0.993547803710313
"80","1","BLGH_00952","000-hordei-DH14_genomic_reference.sort.bam",0.898362361938427
"81","1","BLGH_00969","000-hordei-DH14_genomic_reference.sort.bam",1.14125088065216
"82","1","BLGH_00978","000-hordei-DH14_genomic_reference.sort.bam",0.689933114396532
"83","1","BLGH_01001","000-hordei-DH14_genomic_reference.sort.bam",0.726180738700794
"84","1","BLGH_01006","000-hordei-DH14_genomic_reference.sort.bam",1.10082062109022
"85","1","BLGH_01048","000-hordei-DH14_genomic_reference.sort.bam",0.94416585940097
"86","1","BLGH_01082","000-hordei-DH14_genomic_reference.sort.bam",1.07256689188033
"87","1","BLGH_01089","000-hordei-DH14_genomic_reference.sort.bam",0.890810481918667
"88","1","BLGH_01108","000-hordei-DH14_genomic_reference.sort.bam",0.744693181884255
"89","1","BLGH_01111","000-hordei-DH14_genomic_reference.sort.bam",0.980861569583226
"90","1","BLGH_01189","000-hordei-DH14_genomic_reference.sort.bam",0.918541018711272
"91","1","BLGH_01226","000-hordei-DH14_genomic_reference.sort.bam",0.971871986366833
"92","1","BLGH_01256","000-hordei-DH14_genomic_reference.sort.bam",1.13742327327796
"93","1","BLGH_01257","000-hordei-DH14_genomic_reference.sort.bam",1.10833526830621
"94","1","BLGH_01258","000-hordei-DH14_genomic_reference.sort.bam",1.01704952274473
"95","1","BLGH_01259","000-hordei-DH14_genomic_reference.sort.bam",1.15391929767555
"96","1","BLGH_01261","000-hordei-DH14_genomic_reference.sort.bam",0.813470753800481
"97","1","BLGH_01268","000-hordei-DH14_genomic_reference.sort.bam",0.815855947334584
"98","1","BLGH_01270","000-hordei-DH14_genomic_reference.sort.bam",0.88952667982572
"99","1","BLGH_01271","000-hordei-DH14_genomic_reference.sort.bam",0.988397825110889
"100","1","BLGH_01273","000-hordei-DH14_genomic_reference.sort.bam",1.10224469501895
"101","1","BLGH_01274","000-hordei-DH14_genomic_reference.sort.bam",1.02983202111969
"102","1","BLGH_01275","000-hordei-DH14_genomic_reference.sort.bam",1.06945204822888
"103","1","BLGH_01277","000-hordei-DH14_genomic_reference.sort.bam",1.30630718350814
"104","1","BLGH_01278","000-hordei-DH14_genomic_reference.sort.bam",1.02339064833321
"105","1","BLGH_01286","000-hordei-DH14_genomic_reference.sort.bam",1.07698962014813
"106","1","BLGH_01368","000-hordei-DH14_genomic_reference.sort.bam",0.97504917250927
"107","1","BLGH_01400","000-hordei-DH14_genomic_reference.sort.bam",1.04252827069727
"108","1","BLGH_01403","000-hordei-DH14_genomic_reference.sort.bam",0.768726296239928
"109","1","BLGH_01413","000-hordei-DH14_genomic_reference.sort.bam",0.75617266226211
"110","1","BLGH_01445","000-hordei-DH14_genomic_reference.sort.bam",0.857056672674981
"111","1","BLGH_01448","000-hordei-DH14_genomic_reference.sort.bam",1.10102825447518
"112","1","BLGH_01454","000-hordei-DH14_genomic_reference.sort.bam",0.879943436424679
"113","1","BLGH_01483","000-hordei-DH14_genomic_reference.sort.bam",1.09869289393756
"114","1","BLGH_01490","000-hordei-DH14_genomic_reference.sort.bam",0.928762200574524
"115","1","BLGH_01491","000-hordei-DH14_genomic_reference.sort.bam",1.15327424065617
"116","1","BLGH_01505","000-hordei-DH14_genomic_reference.sort.bam",0.892696062384072
"117","1","BLGH_01521","000-hordei-DH14_genomic_reference.sort.bam",1.00955069370079
"118","1","BLGH_01542","000-hordei-DH14_genomic_reference.sort.bam",0.90405206717978
"119","1","BLGH_01558","000-hordei-DH14_genomic_reference.sort.bam",0.889313340025296
"120","1","BLGH_01564","000-hordei-DH14_genomic_reference.sort.bam",1.11357658986691
"121","1","BLGH_01576","000-hordei-DH14_genomic_reference.sort.bam",0.854816750480224
"122","1","BLGH_01590","000-hordei-DH14_genomic_reference.sort.bam",0.780044925221491
"123","1","BLGH_01599","000-hordei-DH14_genomic_reference.sort.bam",0.889871257672512
"124","1","BLGH_01616","000-hordei-DH14_genomic_reference.sort.bam",1.04365972486461
"125","1","BLGH_01623","000-hordei-DH14_genomic_reference.sort.bam",0.915804046347489
"126","1","BLGH_01637","000-hordei-DH14_genomic_reference.sort.bam",1.00476404180679
"127","1","BLGH_01641","000-hordei-DH14_genomic_reference.sort.bam",0.965673076768016
"128","1","BLGH_01650","000-hordei-DH14_genomic_reference.sort.bam",1.12923152701078
"129","1","BLGH_01668","000-hordei-DH14_genomic_reference.sort.bam",1.11586259891185
"130","1","BLGH_01670","000-hordei-DH14_genomic_reference.sort.bam",1.2666967076863
"131","1","BLGH_01682","000-hordei-DH14_genomic_reference.sort.bam",0.75005809936825
"132","1","BLGH_01683","000-hordei-DH14_genomic_reference.sort.bam",0.996905461573341
"133","1","BLGH_01685","000-hordei-DH14_genomic_reference.sort.bam",0.948535096939326
"134","1","BLGH_01687","000-hordei-DH14_genomic_reference.sort.bam",1.06671001859591
"135","1","BLGH_01708","000-hordei-DH14_genomic_reference.sort.bam",0.941700534439092
"136","1","BLGH_01709","000-hordei-DH14_genomic_reference.sort.bam",0.735979765062208
"137","1","BLGH_01710","000-hordei-DH14_genomic_reference.sort.bam",0.894233515904759
"138","1","BLGH_01711","000-hordei-DH14_genomic_reference.sort.bam",0.887911097434848
"139","1","BLGH_01715","000-hordei-DH14_genomic_reference.sort.bam",0.804722589643121
"140","1","BLGH_01717","000-hordei-DH14_genomic_reference.sort.bam",0.849753021077245
"141","1","BLGH_01720","000-hordei-DH14_genomic_reference.sort.bam",0.734177731273772
"142","1","BLGH_01722","000-hordei-DH14_genomic_reference.sort.bam",0.97783692719932
"143","1","BLGH_01724","000-hordei-DH14_genomic_reference.sort.bam",0.714538123500386
"144","1","BLGH_01725","000-hordei-DH14_genomic_reference.sort.bam",0.989365960886243
"145","1","BLGH_01734","000-hordei-DH14_genomic_reference.sort.bam",0.603342635072235
"146","1","BLGH_01739","000-hordei-DH14_genomic_reference.sort.bam",0.815852130464655
"147","1","BLGH_01844","000-hordei-DH14_genomic_reference.sort.bam",0.982485808167981
"148","1","BLGH_01852","000-hordei-DH14_genomic_reference.sort.bam",1.04255814158932
"149","1","BLGH_01878","000-hordei-DH14_genomic_reference.sort.bam",1.29818792495584
"150","1","BLGH_01917","000-hordei-DH14_genomic_reference.sort.bam",0.553880023086926
"151","1","BLGH_01965","000-hordei-DH14_genomic_reference.sort.bam",1.12905274542762
"152","1","BLGH_01980","000-hordei-DH14_genomic_reference.sort.bam",0.811950117287503
"153","1","BLGH_01984","000-hordei-DH14_genomic_reference.sort.bam",0.982624875084626
"154","1","BLGH_02036","000-hordei-DH14_genomic_reference.sort.bam",1.22204720378644
"155","1","BLGH_02037","000-hordei-DH14_genomic_reference.sort.bam",0.947489837120283
"156","1","BLGH_02055","000-hordei-DH14_genomic_reference.sort.bam",1.11823923243604
"157","1","BLGH_02056","000-hordei-DH14_genomic_reference.sort.bam",1.17357799322392
"158","1","BLGH_02064","000-hordei-DH14_genomic_reference.sort.bam",0.941735097802102
"159","1","BLGH_02072","000-hordei-DH14_genomic_reference.sort.bam",1.10879209565068
"160","1","BLGH_02085","000-hordei-DH14_genomic_reference.sort.bam",1.15679199048299
"161","1","BLGH_02098","000-hordei-DH14_genomic_reference.sort.bam",1.04721657832564
"162","1","BLGH_02099","000-hordei-DH14_genomic_reference.sort.bam",1.13842672943159
"163","1","BLGH_02100","000-hordei-DH14_genomic_reference.sort.bam",1.03517057760808
"164","1","BLGH_02141","000-hordei-DH14_genomic_reference.sort.bam",0.949253130206071
"165","1","BLGH_02144","000-hordei-DH14_genomic_reference.sort.bam",1.03186873358558
"166","1","BLGH_02159","000-hordei-DH14_genomic_reference.sort.bam",0.87553181058825
"167","1","BLGH_02164","000-hordei-DH14_genomic_reference.sort.bam",0.882578954178973
"168","1","BLGH_02166","000-hordei-DH14_genomic_reference.sort.bam",0.864911329523136
"169","1","BLGH_02169","000-hordei-DH14_genomic_reference.sort.bam",1.21801748284984
"170","1","BLGH_02173","000-hordei-DH14_genomic_reference.sort.bam",1.19984438880396
"171","1","BLGH_02180","000-hordei-DH14_genomic_reference.sort.bam",1.04291985550061
"172","1","BLGH_02189","000-hordei-DH14_genomic_reference.sort.bam",0.823941288966503
"173","1","BLGH_02198","000-hordei-DH14_genomic_reference.sort.bam",1.00127747099948
"174","1","BLGH_02201","000-hordei-DH14_genomic_reference.sort.bam",1.01270308906832
"175","1","BLGH_02203","000-hordei-DH14_genomic_reference.sort.bam",0.879302511680678
"176","1","BLGH_02204","000-hordei-DH14_genomic_reference.sort.bam",0.897525477865094
"177","1","BLGH_02205","000-hordei-DH14_genomic_reference.sort.bam",0.910168227479635
"178","1","BLGH_02207","000-hordei-DH14_genomic_reference.sort.bam",0.686531124597091
"179","1","BLGH_02214","000-hordei-DH14_genomic_reference.sort.bam",1.20464492392
"180","1","BLGH_02215","000-hordei-DH14_genomic_reference.sort.bam",1.24546493497074
"181","1","BLGH_02218","000-hordei-DH14_genomic_reference.sort.bam",1.09156209398823
"182","1","BLGH_02219","000-hordei-DH14_genomic_reference.sort.bam",1.24810773013302
"183","1","BLGH_02224","000-hordei-DH14_genomic_reference.sort.bam",1.14992219944051
"184","1","BLGH_02227","000-hordei-DH14_genomic_reference.sort.bam",1.00766667332596
"185","1","BLGH_02228","000-hordei-DH14_genomic_reference.sort.bam",1.00803612637955
"186","1","BLGH_02253","000-hordei-DH14_genomic_reference.sort.bam",1.33693662645806
"187","1","BLGH_02254","000-hordei-DH14_genomic_reference.sort.bam",1.049756852399
"188","1","BLGH_02264","000-hordei-DH14_genomic_reference.sort.bam",0.779857991303727
"189","1","BLGH_02270","000-hordei-DH14_genomic_reference.sort.bam",0.857822638150716
"190","1","BLGH_02293","000-hordei-DH14_genomic_reference.sort.bam",0.919847497435846
"191","1","BLGH_02307","000-hordei-DH14_genomic_reference.sort.bam",1.21179106332976
"192","1","BLGH_02314","000-hordei-DH14_genomic_reference.sort.bam",1.01234333743423
"193","1","BLGH_02315","000-hordei-DH14_genomic_reference.sort.bam",0.788734991174327
"194","1","BLGH_02334","000-hordei-DH14_genomic_reference.sort.bam",0.820146294281513
"195","1","BLGH_02347","000-hordei-DH14_genomic_reference.sort.bam",0.711720767087682
"196","1","BLGH_02355","000-hordei-DH14_genomic_reference.sort.bam",1.02682029813987
"197","1","BLGH_02370","000-hordei-DH14_genomic_reference.sort.bam",0.775141188362818
"198","1","BLGH_02375","000-hordei-DH14_genomic_reference.sort.bam",0.920471801691519
"199","1","BLGH_02382","000-hordei-DH14_genomic_reference.sort.bam",1.02687405982641
"200","1","BLGH_02408","000-hordei-DH14_genomic_reference.sort.bam",0.94749013228887
"201","1","BLGH_02413","000-hordei-DH14_genomic_reference.sort.bam",1.09151165677846
"202","1","BLGH_02415","000-hordei-DH14_genomic_reference.sort.bam",1.0108912066806
"203","1","BLGH_02416","000-hordei-DH14_genomic_reference.sort.bam",0.858955066164839
"204","1","BLGH_02427","000-hordei-DH14_genomic_reference.sort.bam",0.892133366531
"205","1","BLGH_02435","000-hordei-DH14_genomic_reference.sort.bam",1.13804669233458
"206","1","BLGH_02439","000-hordei-DH14_genomic_reference.sort.bam",1.04793724774392
"207","1","BLGH_02440","000-hordei-DH14_genomic_reference.sort.bam",0.964517067211846
"208","1","BLGH_02441","000-hordei-DH14_genomic_reference.sort.bam",1.23024502194743
"209","1","BLGH_02446","000-hordei-DH14_genomic_reference.sort.bam",0.735380823196109
"210","1","BLGH_02448","000-hordei-DH14_genomic_reference.sort.bam",0.995531222736125
"211","1","BLGH_02459","000-hordei-DH14_genomic_reference.sort.bam",1.09338103026476
"212","1","BLGH_02483","000-hordei-DH14_genomic_reference.sort.bam",1.04061042467177
"213","1","BLGH_02494","000-hordei-DH14_genomic_reference.sort.bam",0.908132316689187
"214","1","BLGH_02500","000-hordei-DH14_genomic_reference.sort.bam",0.927444042105995
"215","1","BLGH_02556","000-hordei-DH14_genomic_reference.sort.bam",0.950099703157285
"216","1","BLGH_02610","000-hordei-DH14_genomic_reference.sort.bam",0.955099748668652
"217","1","BLGH_02611","000-hordei-DH14_genomic_reference.sort.bam",1.04323956547396
"218","1","BLGH_02616","000-hordei-DH14_genomic_reference.sort.bam",0.785620066924477
"219","1","BLGH_02617","000-hordei-DH14_genomic_reference.sort.bam",0.839503294945707
"220","1","BLGH_02618","000-hordei-DH14_genomic_reference.sort.bam",0.903123246562814
"221","2","BLGH_02622","000-hordei-DH14_genomic_reference.sort.bam",1.89169798988646
"222","1","BLGH_02628","000-hordei-DH14_genomic_reference.sort.bam",1.16012334564588
"223","1","BLGH_02630","000-hordei-DH14_genomic_reference.sort.bam",1.11552912180627
"224","1","BLGH_02676","000-hordei-DH14_genomic_reference.sort.bam",0.922869052426639
"225","1","BLGH_02693","000-hordei-DH14_genomic_reference.sort.bam",1.04190786184898
"226","1","BLGH_02694","000-hordei-DH14_genomic_reference.sort.bam",1.00203999282208
"227","1","BLGH_02695","000-hordei-DH14_genomic_reference.sort.bam",1.18145441679985
"228","1","BLGH_02700","000-hordei-DH14_genomic_reference.sort.bam",1.10581839279813
"229","1","BLGH_02702","000-hordei-DH14_genomic_reference.sort.bam",0.741552870032662
"230","1","BLGH_02704","000-hordei-DH14_genomic_reference.sort.bam",0.93370371482899
"231","1","BLGH_02705","000-hordei-DH14_genomic_reference.sort.bam",1.1437661131951
"232","1","BLGH_02706","000-hordei-DH14_genomic_reference.sort.bam",0.942813985579982
"233","1","BLGH_02707","000-hordei-DH14_genomic_reference.sort.bam",1.12172104531441
"234","1","BLGH_02708","000-hordei-DH14_genomic_reference.sort.bam",1.1851951863548
"235","1","BLGH_02709","000-hordei-DH14_genomic_reference.sort.bam",0.928362218440973
"236","1","BLGH_02710","000-hordei-DH14_genomic_reference.sort.bam",1.11324143443928
"237","1","BLGH_02715","000-hordei-DH14_genomic_reference.sort.bam",1.08486655439037
"238","1","BLGH_02716","000-hordei-DH14_genomic_reference.sort.bam",1.15626031797085
"239","1","BLGH_02717","000-hordei-DH14_genomic_reference.sort.bam",1.28853200746885
"240","1","BLGH_02719","000-hordei-DH14_genomic_reference.sort.bam",1.06264970520739
"241","1","BLGH_02720","000-hordei-DH14_genomic_reference.sort.bam",1.03599548906927
"242","1","BLGH_02721","000-hordei-DH14_genomic_reference.sort.bam",1.11340298198437
"243","1","BLGH_02722","000-hordei-DH14_genomic_reference.sort.bam",1.21470986800142
"244","1","BLGH_02723","000-hordei-DH14_genomic_reference.sort.bam",1.03575030424598
"245","1","BLGH_02724","000-hordei-DH14_genomic_reference.sort.bam",1.14484606181324
"246","1","BLGH_02725","000-hordei-DH14_genomic_reference.sort.bam",1.11653411696214
"247","1","BLGH_02727","000-hordei-DH14_genomic_reference.sort.bam",1.04185250297548
"248","1","BLGH_02729","000-hordei-DH14_genomic_reference.sort.bam",1.12819398157243
"249","1","BLGH_02730","000-hordei-DH14_genomic_reference.sort.bam",1.02975458279008
"250","1","BLGH_02731","000-hordei-DH14_genomic_reference.sort.bam",1.13809715209248
"251","1","BLGH_02732","000-hordei-DH14_genomic_reference.sort.bam",0.90373392477965
"252","1","BLGH_02733","000-hordei-DH14_genomic_reference.sort.bam",1.09577612286508
"253","1","BLGH_02736","000-hordei-DH14_genomic_reference.sort.bam",1.04477559879232
"254","1","BLGH_02737","000-hordei-DH14_genomic_reference.sort.bam",1.11692833841786
"255","1","BLGH_02738","000-hordei-DH14_genomic_reference.sort.bam",0.885669159135671
"256","1","BLGH_02741","000-hordei-DH14_genomic_reference.sort.bam",1.04338611279792
"257","1","BLGH_02742","000-hordei-DH14_genomic_reference.sort.bam",1.34993828257601
"258","1","BLGH_02744","000-hordei-DH14_genomic_reference.sort.bam",0.985538875936711
"259","1","BLGH_02748","000-hordei-DH14_genomic_reference.sort.bam",1.17211190407747
"260","1","BLGH_02753","000-hordei-DH14_genomic_reference.sort.bam",0.908378476645621
"261","1","BLGH_02781","000-hordei-DH14_genomic_reference.sort.bam",1.06705566250191
"262","1","BLGH_02799","000-hordei-DH14_genomic_reference.sort.bam",1.04707930525462
"263","1","BLGH_02837","000-hordei-DH14_genomic_reference.sort.bam",0.843070570720674
"264","1","BLGH_02880","000-hordei-DH14_genomic_reference.sort.bam",1.00724981559938
"265","1","BLGH_02882","000-hordei-DH14_genomic_reference.sort.bam",0.810582144333248
"266","0","BLGH_02896","000-hordei-DH14_genomic_reference.sort.bam",0.479499811740231
"267","1","BLGH_02918","000-hordei-DH14_genomic_reference.sort.bam",1.16557509667776
"268","1","BLGH_02919","000-hordei-DH14_genomic_reference.sort.bam",1.01301760276318
"269","1","BLGH_02921","000-hordei-DH14_genomic_reference.sort.bam",0.835542817161495
"270","1","BLGH_02927","000-hordei-DH14_genomic_reference.sort.bam",1.19377891927885
"271","1","BLGH_02930","000-hordei-DH14_genomic_reference.sort.bam",0.895008287488273
"272","1","BLGH_02938","000-hordei-DH14_genomic_reference.sort.bam",0.690253832464393
"273","1","BLGH_02939","000-hordei-DH14_genomic_reference.sort.bam",0.747630760520635
"274","1","BLGH_02940","000-hordei-DH14_genomic_reference.sort.bam",0.75256070453672
"275","1","BLGH_02952","000-hordei-DH14_genomic_reference.sort.bam",0.983965496641661
"276","1","BLGH_02953","000-hordei-DH14_genomic_reference.sort.bam",0.884536513994427
"277","1","BLGH_02965","000-hordei-DH14_genomic_reference.sort.bam",1.0195304368966
"278","1","BLGH_02974","000-hordei-DH14_genomic_reference.sort.bam",0.948255178787904
"279","1","BLGH_03022","000-hordei-DH14_genomic_reference.sort.bam",1.06703316312051
"280","1","BLGH_03023","000-hordei-DH14_genomic_reference.sort.bam",1.44536175146672
"281","1","BLGH_03049","000-hordei-DH14_genomic_reference.sort.bam",0.930671339610133
"282","1","BLGH_03092","000-hordei-DH14_genomic_reference.sort.bam",0.88608090135779
"283","1","BLGH_03093","000-hordei-DH14_genomic_reference.sort.bam",0.706287581415479
"284","1","BLGH_03094","000-hordei-DH14_genomic_reference.sort.bam",1.05295871455536
"285","1","BLGH_03102","000-hordei-DH14_genomic_reference.sort.bam",1.07454758417951
"286","1","BLGH_03125","000-hordei-DH14_genomic_reference.sort.bam",0.867657962899734
"287","1","BLGH_03137","000-hordei-DH14_genomic_reference.sort.bam",0.92946627953846
"288","1","BLGH_03139","000-hordei-DH14_genomic_reference.sort.bam",1.05370345148097
"289","1","BLGH_03164","000-hordei-DH14_genomic_reference.sort.bam",1.01357937093131
"290","1","BLGH_03165","000-hordei-DH14_genomic_reference.sort.bam",1.01093900224152
"291","1","BLGH_03168","000-hordei-DH14_genomic_reference.sort.bam",1.17548609218163
"292","1","BLGH_03171","000-hordei-DH14_genomic_reference.sort.bam",1.01547308877141
"293","1","BLGH_03172","000-hordei-DH14_genomic_reference.sort.bam",1.12530458732887
"294","1","BLGH_03180","000-hordei-DH14_genomic_reference.sort.bam",1.00040016807591
"295","1","BLGH_03184","000-hordei-DH14_genomic_reference.sort.bam",0.900913076986277
"296","1","BLGH_03185","000-hordei-DH14_genomic_reference.sort.bam",1.05236904423518
"297","1","BLGH_03189","000-hordei-DH14_genomic_reference.sort.bam",0.931349885705952
"298","1","BLGH_03190","000-hordei-DH14_genomic_reference.sort.bam",0.987799955976491
"299","1","BLGH_03214","000-hordei-DH14_genomic_reference.sort.bam",0.872792180028965
"300","1","BLGH_03215","000-hordei-DH14_genomic_reference.sort.bam",0.917562185244733
"301","1","BLGH_03222","000-hordei-DH14_genomic_reference.sort.bam",0.90791169339217
"302","1","BLGH_03231","000-hordei-DH14_genomic_reference.sort.bam",0.852322828681549
"303","1","BLGH_03256","000-hordei-DH14_genomic_reference.sort.bam",0.88464406613382
"304","1","BLGH_03257","000-hordei-DH14_genomic_reference.sort.bam",1.13159089774741
"305","1","BLGH_03260","000-hordei-DH14_genomic_reference.sort.bam",1.06175370301018
"306","1","BLGH_03262","000-hordei-DH14_genomic_reference.sort.bam",1.21697615599078
"307","1","BLGH_03265","000-hordei-DH14_genomic_reference.sort.bam",1.24467531142307
"308","1","BLGH_03267","000-hordei-DH14_genomic_reference.sort.bam",0.9757021106294
"309","1","BLGH_03268","000-hordei-DH14_genomic_reference.sort.bam",1.04357393456482
"310","1","BLGH_03269","000-hordei-DH14_genomic_reference.sort.bam",1.11096093264851
"311","1","BLGH_03288","000-hordei-DH14_genomic_reference.sort.bam",1.02639974081717
"312","1","BLGH_03325","000-hordei-DH14_genomic_reference.sort.bam",1.0192386056186
"313","1","BLGH_03345","000-hordei-DH14_genomic_reference.sort.bam",0.799043736317288
"314","1","BLGH_03353","000-hordei-DH14_genomic_reference.sort.bam",1.0374836114746
"315","1","BLGH_03354","000-hordei-DH14_genomic_reference.sort.bam",0.949625206909992
"316","1","BLGH_03360","000-hordei-DH14_genomic_reference.sort.bam",0.856589159716396
"317","1","BLGH_03401","000-hordei-DH14_genomic_reference.sort.bam",0.777394710320844
