GeneID	dN	dS	dNdS
BLGH_00274	0.081	0.162	0.5
BLGH_00275	0.002	0	Inf
BLGH_00276	0.003	0.005	0.6
BLGH_00277	0	0.01	0
BLGH_00278	0	0.002	0
BLGH_00279	0.002	0	Inf
BLGH_00280	0	0.004	0
BLGH_00281	0	0.016	0
BLGH_00282	0.001	0.002	0.5
BLGH_00283	0	0	NA
BLGH_00284	0.001	0.005	0.2
BLGH_00285	0.004	0.012	0.3333
BLGH_00286	0	0.019	0
BLGH_00287	0.005	0.009	0.5556
BLGH_00288	0.003	0.014	0.2143
BLGH_00289	0	0.012	0
BLGH_00290	0	0	NA
BLGH_00291	0.001	0.003	0.3333
BLGH_00292	0.001	0	Inf
BLGH_00293	0	0.012	0
BLGH_00294	0	0	NA
BLGH_00295	0.003	0	Inf
BLGH_00296	0	0	NA
BLGH_00297	0	0.002	0
BLGH_00298	0	0.003	0
BLGH_00299	0	0.001	0
BLGH_00300	0.001	0	Inf
BLGH_00301	0	0	NA
BLGH_00302	0.004	0.005	0.8
BLGH_00303	0	0	NA
BLGH_00304	0.002	0.004	0.5
BLGH_00305	0.002	0.003	0.6667
BLGH_00306	0	0.006	0
BLGH_00307	0	0	NA
BLGH_00308	0.001	0	Inf
BLGH_00309	0.098	0.111	0.8829
BLGH_00310	0	0	NA
BLGH_00311	0	0.004	0
BLGH_00312	0.004	0.002	2
BLGH_00313	0	0.012	0
BLGH_00314	0.004	0.017	0.2353
BLGH_00315	0.006	0.015	0.4
BLGH_00316	0.016	0	Inf
BLGH_00317	0.001	0.003	0.3333
BLGH_00318	0.001	0.002	0.5
BLGH_00319	0	0	NA
BLGH_00320	0.001	0	Inf
BLGH_00321	0.006	0.007	0.8571
BLGH_00322	0.001	0.001	1
BLGH_00323	0.001	0.002	0.5
BLGH_00324	0.002	0	Inf
BLGH_00325	0	0.015	0
BLGH_00326	0.007	0.009	0.7778
BLGH_00327	0.084	0.066	1.2727
BLGH_00328	0	0.006	0
BLGH_00329	0	0.003	0
BLGH_00330	0.002	0	Inf
BLGH_00331	0	0	NA
BLGH_00332	0	0	NA
BLGH_00333	0.018	0.019	0.9474
BLGH_00334	0.001	0.006	0.1667
BLGH_00335	0.002	0.002	1
BLGH_00336	0.002	0.006	0.3333
BLGH_00337	0.002	0.011	0.1818
BLGH_00338	0.002	0.021	0.0952
BLGH_00339	0.002	0.002	1
BLGH_00340	0.001	0.004	0.25
BLGH_00341	0	0	NA
BLGH_00342	0.016	0.02	0.8
BLGH_00343	0	0	NA
BLGH_00344	0.002	0.012	0.1667
BLGH_00345	0.001	0.003	0.3333
BLGH_00347	0.002	0.007	0.2857
BLGH_00348	0.002	0.004	0.5
BLGH_00349	0.001	0.003	0.3333
BLGH_00350	0	0.002	0
BLGH_00351	0.003	0.004	0.75
BLGH_00352	0	0	NA
BLGH_00353	0	0.003	0
BLGH_00354	0	0	NA
BLGH_00355	0	0	NA
BLGH_00356	0.001	0.002	0.5
BLGH_00357	0	0.003	0
BLGH_00358	0.001	0.002	0.5
BLGH_00359	0	0	NA
BLGH_00360	0.003	0.002	1.5
BLGH_00361	0	0	NA
BLGH_00362	0	0	NA
BLGH_00363	0	0	NA
BLGH_00364	0	0.004	0
BLGH_00365	0	0	NA
BLGH_00366	0	0	NA
BLGH_00367	0.001	0.001	1
BLGH_00368	0.009	0.031	0.2903
BLGH_00369	0	0	NA
BLGH_00370	0.007	0.024	0.2917
BLGH_00371	0.001	0.002	0.5
BLGH_00372	0.003	0	Inf
BLGH_00373	0	0.019	0
BLGH_00374	0.001	0.006	0.1667
BLGH_00375	0.002	0.005	0.4
BLGH_00376	0.006	0.013	0.4615
BLGH_00377	0.002	0	Inf
BLGH_00378	0.005	0.012	0.4167
BLGH_00379	0	0	NA
BLGH_00380	0	0.004	0
BLGH_00381	0.003	0.007	0.4286
BLGH_00383	0.002	0	Inf
BLGH_00384	0	0	NA
BLGH_00385	0	0	NA
BLGH_00386	0	0	NA
BLGH_00387	0	0.007	0
BLGH_00388	0	0	NA
BLGH_00389	0	0	NA
BLGH_00390	0	0	NA
BLGH_00391	0.001	0.004	0.25
BLGH_00392	0.001	0.004	0.25
BLGH_00393	0	0	NA
BLGH_00394	0	0	NA
BLGH_00395	0.004	0.02	0.2
BLGH_00396	0.001	0.006	0.1667
BLGH_00397	0.001	0.011	0.0909
BLGH_00398	0.001	0.007	0.1429
BLGH_00399	0	0	NA
BLGH_00400	0.016	0.038	0.4211
BLGH_00401	0.007	0	Inf
BLGH_00402	0.003	0.006	0.5
BLGH_00403	0.002	0	Inf
BLGH_00404	0.001	0.001	1
BLGH_00405	0.001	0.002	0.5
BLGH_00406	0.001	0	Inf
BLGH_00407	0.003	0.004	0.75
BLGH_00408	0.001	0.004	0.25
BLGH_00409	0	0	NA
BLGH_00410	0	0.008	0
BLGH_00411	0	0	NA
BLGH_00412	0	0	NA
BLGH_00413	0	0	NA
BLGH_00414	0.003	0	Inf
BLGH_00415	0	0.008	0
BLGH_00416	0	0	NA
BLGH_00417	0	0	NA
BLGH_00418	0.001	0.006	0.1667
BLGH_00419	0.002	0.006	0.3333
BLGH_00420	0	0.004	0
BLGH_00421	0	0.007	0
BLGH_00422	0.002	0	Inf
BLGH_00423	0	0.004	0
BLGH_00424	0.002	0.003	0.6667
BLGH_00425	0	0.003	0
BLGH_00426	0.001	0.008	0.125
BLGH_00427	0	0.007	0
BLGH_00428	0.001	0	Inf
BLGH_00429	0	0	NA
BLGH_00430	0.002	0.002	1
BLGH_00431	0.002	0	Inf
BLGH_00432	0	0	NA
BLGH_00433	0	0	NA
BLGH_00434	0	0	NA
BLGH_00435	0.006	0	Inf
BLGH_00436	0.001	0.006	0.1667
BLGH_00437	0.003	0.008	0.375
BLGH_00438	0.002	0.012	0.1667
BLGH_00439	0	0	NA
BLGH_00440	0.001	0.004	0.25
BLGH_00441	0	0.03	0
BLGH_00442	0	0.006	0
BLGH_00443	0.002	0.005	0.4
BLGH_00444	0	0.004	0
BLGH_00445	0	0	NA
BLGH_00446	0.044	0.063	0.6984
BLGH_00447	0.001	0.016	0.0625
BLGH_00448	1.196	2.837	0.4216
BLGH_00449	0.001	0.002	0.5
BLGH_00450	0	0	NA
BLGH_00451	0.001	0.005	0.2
BLGH_00452	0	0	NA
BLGH_00453	0	0	NA
BLGH_00454	0.001	0	Inf
BLGH_00455	0.002	0.008	0.25
BLGH_00456	0	0.002	0
BLGH_00457	0	0.006	0
BLGH_00458	0	0.007	0
BLGH_00459	0.002	0	Inf
BLGH_00460	0.001	0.015	0.0667
BLGH_00461	0	0.006	0
BLGH_00462	0.006	0.005	1.2
BLGH_00463	0.001	0.002	0.5
BLGH_00464	0	0.006	0
BLGH_00465	0	0.002	0
BLGH_00466	0.001	0	Inf
BLGH_00467	0	0	NA
BLGH_00468	0.001	0.002	0.5
BLGH_00469	0	0.004	0
BLGH_00470	0.002	0.004	0.5
BLGH_00471	0	0	NA
BLGH_00472	0.001	0.009	0.1111
BLGH_00473	0.001	0.003	0.3333
BLGH_00474	0	0	NA
BLGH_00475	0.008	0.02	0.4
BLGH_00476	0.001	0.005	0.2
BLGH_00477	0	0.007	0
BLGH_00478	0.034	0.043	0.7907
BLGH_00480	0.001	0	Inf
BLGH_00481	0	0.006	0
BLGH_00482	0.028	0.047	0.5957
BLGH_00483	0.03	0.009	3.3333
BLGH_00484	0.007	0	Inf
BLGH_00485	0	0.004	0
BLGH_00486	0.006	0.007	0.8571
BLGH_00487	0.007	0	Inf
BLGH_00488	0.001	0	Inf
BLGH_00489	0	0	NA
BLGH_00490	0.068	0.084	0.8095
BLGH_00491	0	0	NA
BLGH_00492	0	0.006	0
BLGH_00493	0	0	NA
BLGH_00494	0	0.003	0
BLGH_00495	0.001	0.004	0.25
BLGH_00496	0.002	0.005	0.4
BLGH_00497	0.001	0	Inf
BLGH_00498	0	0.009	0
BLGH_00499	0.002	0.004	0.5
BLGH_00500	0.001	0.015	0.0667
BLGH_00501	0	0.081	0
BLGH_00502	0	0.005	0
BLGH_00503	0.005	0.007	0.7143
BLGH_00504	0	0.002	0
BLGH_00505	0.031	0.051	0.6078
BLGH_00506	0.003	0.004	0.75
BLGH_00507	0.002	0.002	1
BLGH_00509	0.001	0.004	0.25
BLGH_00510	0.002	0.002	1
BLGH_00511	0.004	0.01	0.4
BLGH_00512	0.023	0.012	1.9167
BLGH_00513	0.002	0.004	0.5
BLGH_00514	0	0.004	0
BLGH_00515	0.001	0	Inf
BLGH_00516	0.002	0	Inf
BLGH_00517	0.061	0.037	1.6486
BLGH_00518	0	0.003	0
BLGH_00519	0	0	NA
BLGH_00520	0.001	0.008	0.125
BLGH_00521	0.002	0.007	0.2857
BLGH_00522	0.004	0.017	0.2353
BLGH_00523	0.003	0.009	0.3333
BLGH_00524	0.001	0	Inf
BLGH_00525	0	0.003	0
BLGH_00526	0.005	0.007	0.7143
BLGH_00527	0	0.003	0
BLGH_00528	0	0	NA
BLGH_00529	0.001	0	Inf
BLGH_00530	0.008	0.02	0.4
BLGH_00531	0.017	0.023	0.7391
BLGH_00532	0.17	0.118	1.4407
BLGH_00534	0	0	NA
BLGH_00535	0.003	0.005	0.6
BLGH_00536	0.001	0.028	0.0357
BLGH_00537	0.001	0.011	0.0909
BLGH_00538	0.001	0.005	0.2
BLGH_00539	0.001	0	Inf
BLGH_00540	0	0	NA
BLGH_00541	0.013	0.012	1.0833
BLGH_00542	0	0	NA
BLGH_00543	0	0	NA
BLGH_00544	0	0	NA
BLGH_00545	0	0	NA
BLGH_00546	0	0.01	0
BLGH_00547	0	0	NA
BLGH_00548	0	0.004	0
BLGH_00549	0.001	0.005	0.2
BLGH_00550	0	0.003	0
BLGH_00551	0.006	0	Inf
BLGH_00552	0.001	0.004	0.25
BLGH_00553	0.001	0.004	0.25
BLGH_00554	0	0	NA
BLGH_00555	0	0	NA
BLGH_00556	0.001	0.001	1
BLGH_00557	0.056	0.069	0.8116
BLGH_00558	0.002	0.003	0.6667
BLGH_00559	1.586	2.264	0.7005
BLGH_00560	0.023	0.025	0.92
BLGH_00561	0.001	0.002	0.5
BLGH_00562	0	0.003	0
BLGH_00563	0.002	0	Inf
BLGH_00564	0	0.004	0
BLGH_00565	0.002	0.008	0.25
BLGH_00566	0	0.006	0
BLGH_00567	0	0	NA
BLGH_00568	0.011	0.02	0.55
BLGH_00569	0	0	NA
BLGH_00570	0.001	0.003	0.3333
BLGH_00571	0	0	NA
BLGH_00572	0	0	NA
BLGH_00573	0	0.003	0
BLGH_00574	0.001	0	Inf
BLGH_00575	0	0.006	0
BLGH_00576	0.002	0.016	0.125
BLGH_00577	0.001	0.004	0.25
BLGH_00578	0.004	0.003	1.3333
BLGH_00579	0	0	NA
BLGH_00580	0.006	0.016	0.375
BLGH_00581	0.005	0	Inf
BLGH_00582	0	0.006	0
BLGH_00583	0	0	NA
BLGH_00584	0.002	0	Inf
BLGH_00585	0.002	0	Inf
BLGH_00586	0.004	0	Inf
BLGH_00587	0.002	0	Inf
BLGH_00588	0	0.005	0
BLGH_00589	0	0.002	0
BLGH_00590	0.002	0.002	1
BLGH_00591	0.001	0.002	0.5
BLGH_00592	0.001	0.007	0.1429
BLGH_00593	0	0.009	0
BLGH_00594	0	0.003	0
BLGH_00595	0	0	NA
BLGH_00596	0.002	0.004	0.5
BLGH_00597	0.001	0.002	0.5
BLGH_00598	0	0.008	0
BLGH_00599	0	0	NA
BLGH_00600	0.014	0.046	0.3043
BLGH_00601	0.001	0.002	0.5
BLGH_00602	0	0.004	0
BLGH_00603	0	0.002	0
BLGH_00604	0.014	0	Inf
BLGH_00605	0.002	0.005	0.4
BLGH_00606	0	0.008	0
BLGH_00607	0	0	NA
BLGH_00608	0.01	0	Inf
BLGH_00609	0	0.004	0
BLGH_00610	0.002	0.01	0.2
BLGH_00611	0.007	0	Inf
BLGH_00612	0.003	0.005	0.6
BLGH_00613	0	0.003	0
BLGH_00614	0.001	0.003	0.3333
BLGH_00615	0.005	0	Inf
BLGH_00616	0.003	0	Inf
BLGH_00617	0.001	0.004	0.25
BLGH_00618	0	0	NA
BLGH_00619	0.004	0	Inf
BLGH_00620	0.001	0.005	0.2
BLGH_00621	0	0.01	0
BLGH_00622	0.001	0.005	0.2
BLGH_00623	0.001	0	Inf
BLGH_00624	0	0.003	0
BLGH_00625	0	0.063	0
BLGH_00626	0.002	0.002	1
BLGH_00627	0.002	0	Inf
BLGH_00628	0.002	0.004	0.5
BLGH_00629	0.002	0.001	2
BLGH_00630	0	0	NA
BLGH_00631	0	0.002	0
BLGH_00632	0.001	0.002	0.5
BLGH_00633	0	0	NA
BLGH_00634	0	0	NA
BLGH_00635	0	0.001	0
BLGH_00636	0	0	NA
BLGH_00637	0.001	0.002	0.5
BLGH_00638	0.011	0	Inf
BLGH_00639	0.002	0	Inf
BLGH_00640	0	0.002	0
BLGH_00641	0.008	0	Inf
BLGH_00642	0.004	0.004	1
BLGH_00643	0	0	NA
BLGH_00644	0.007	0.011	0.6364
BLGH_00645	0.002	0.003	0.6667
BLGH_00646	0.001	0.013	0.0769
BLGH_00647	0	0	NA
BLGH_00648	0	0.002	0
BLGH_00649	0	0	NA
BLGH_00650	0	0	NA
BLGH_00651	0.001	0.002	0.5
BLGH_00652	0	0.006	0
BLGH_00653	0.003	0	Inf
BLGH_00654	0.004	0.023	0.1739
BLGH_00655	0	0.02	0
BLGH_00656	0	0	NA
BLGH_00657	0.001	0.002	0.5
BLGH_00658	0.001	0.013	0.0769
BLGH_00659	0	0.004	0
BLGH_00660	0	0.001	0
BLGH_00661	0	0.008	0
BLGH_00662	0	0	NA
BLGH_00663	0.001	0	Inf
BLGH_00664	0	0.003	0
BLGH_00665	0.01	0.006	1.6667
BLGH_00666	0.004	0.019	0.2105
BLGH_00667	0.005	0	Inf
BLGH_00668	0.002	0.005	0.4
BLGH_00669	0.002	0	Inf
BLGH_00670	0.001	0.009	0.1111
BLGH_00671	0.001	0.002	0.5
BLGH_00672	0	0	NA
BLGH_00673	0	0.01	0
BLGH_00674	0	0	NA
BLGH_00675	0.001	0.002	0.5
BLGH_00676	0.002	0.005	0.4
BLGH_00677	0	0.002	0
BLGH_00678	0.001	0.001	1
BLGH_00679	0	0	NA
BLGH_00680	0.001	0.004	0.25
BLGH_00681	0.001	0.004	0.25
BLGH_00682	0.001	0.002	0.5
BLGH_00683	0	0	NA
BLGH_00684	0.041	0.06	0.6833
BLGH_00685	0.002	0.012	0.1667
BLGH_00686	0	0.005	0
BLGH_00687	0.001	0.004	0.25
BLGH_00688	0	0.009	0
BLGH_00689	0.002	0.005	0.4
BLGH_00690	0	0	NA
BLGH_00691	0	0	NA
BLGH_00692	0	0.005	0
BLGH_00693	0.001	0.001	1
BLGH_00694	0	0.014	0
BLGH_00695	0.002	0	Inf
BLGH_00696	0	0	NA
BLGH_00697	0.004	0.022	0.1818
BLGH_00698	1.528	1.737	0.8797
BLGH_00699	1.14	2.401	0.4748
BLGH_00701	0.001	0	Inf
BLGH_00704	0.003	0.007	0.4286
BLGH_00705	0.005	0	Inf
BLGH_00706	0.001	0.001	1
BLGH_00707	0.002	0	Inf
BLGH_00710	0	0	NA
BLGH_00711	0.003	0	Inf
BLGH_00712	0.001	0	Inf
BLGH_00713	0	0.003	0
BLGH_00714	0.001	0.002	0.5
BLGH_00715	0	0.002	0
BLGH_00716	0.001	0.004	0.25
BLGH_00717	0	0.002	0
BLGH_00719	0.001	0.009	0.1111
BLGH_00720	0	0	NA
BLGH_00721	0	0.001	0
BLGH_00722	0.001	0	Inf
BLGH_00723	0	0	NA
BLGH_00724	0.003	0.008	0.375
BLGH_00725	0.003	0.005	0.6
BLGH_00726	0.001	0.002	0.5
BLGH_00727	0	0	NA
BLGH_00728	0.001	0.004	0.25
BLGH_00729	0	0.005	0
BLGH_00730	0.05	0.047	1.0638
BLGH_00731	0.007	0	Inf
BLGH_00732	0	0	NA
BLGH_00733	0.005	0	Inf
BLGH_00734	0	0.011	0
BLGH_00735	0	0	NA
BLGH_00736	0.003	0.007	0.4286
BLGH_00737	0.005	0.004	1.25
BLGH_00738	0	0	NA
BLGH_00739	0.011	0.019	0.5789
BLGH_00740	0.001	0	Inf
BLGH_00741	0	0	NA
BLGH_00742	0	0	NA
BLGH_00743	0	0.012	0
BLGH_00744	0	0	NA
BLGH_00745	0.001	0.003	0.3333
BLGH_00746	0.008	0.008	1
BLGH_00747	0	0.008	0
BLGH_00748	0.05	0.044	1.1364
BLGH_00749	0.008	0.004	2
BLGH_00750	0.001	0.019	0.0526
BLGH_00751	0	0.017	0
BLGH_00752	0.002	0.004	0.5
BLGH_00753	0	0.011	0
BLGH_00754	0.002	0.005	0.4
BLGH_00755	0	0	NA
BLGH_00756	0.001	0	Inf
BLGH_00757	0.006	0.002	3
BLGH_00758	0	0	NA
BLGH_00759	0.007	0.009	0.7778
BLGH_00760	0.002	0.002	1
BLGH_00761	0	0	NA
BLGH_00762	0.002	0.005	0.4
BLGH_00763	0.004	0	Inf
BLGH_00764	0	0	NA
BLGH_00765	0.002	0.008	0.25
BLGH_00766	0.001	0.004	0.25
BLGH_00767	0	0.004	0
BLGH_00768	0	0	NA
BLGH_00769	0	0	NA
BLGH_00770	0	0	NA
BLGH_00771	0.006	0.02	0.3
BLGH_00772	0.001	0.006	0.1667
BLGH_00773	0.001	0.003	0.3333
BLGH_00774	0	0.002	0
BLGH_00775	0.002	0.002	1
BLGH_00776	0.002	0.007	0.2857
BLGH_00777	0	0	NA
BLGH_00778	0.001	0.002	0.5
BLGH_00779	0.001	0.001	1
BLGH_00780	0	0.009	0
BLGH_00781	0.002	0	Inf
BLGH_00782	0.001	0.004	0.25
BLGH_00783	0	0	NA
BLGH_00784	0.05	0.058	0.8621
BLGH_00785	0.006	0.009	0.6667
BLGH_00786	0.001	0	Inf
BLGH_00787	0.005	0.012	0.4167
BLGH_00788	0.001	0	Inf
BLGH_00789	0.008	0.004	2
BLGH_00790	0.003	0.011	0.2727
BLGH_00791	0	0.002	0
BLGH_00792	0	0	NA
BLGH_00793	0.002	0.006	0.3333
BLGH_00794	0.007	0	Inf
BLGH_00795	0.002	0	Inf
BLGH_00796	0	0.002	0
BLGH_00797	0	0	NA
BLGH_00798	0.004	0.001	4
BLGH_00799	0	0	NA
BLGH_00800	0.001	0.002	0.5
BLGH_00801	0	0.002	0
BLGH_00802	0.023	0.03	0.7667
BLGH_00803	0	0.002	0
